TYPE;YEAR;MONTH;DAY;HOUR;MINUTE;HUNDRED_BLOCK;NEIGHBOURHOOD;Latitude;Longitude;PRIORITY
Other Theft;2003;5;12;16;15;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;5;7;15;20;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;23;16;40;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;20;11;15;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;12;17;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;3;26;20;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Break and Enter Residential/Other;2003;3;10;12;0;63XX WILTSHIRE ST;Kerrisdale;49.22805078;-123.1466105;YES
Mischief;2003;6;28;4;13;40XX W 19TH AVE;Dunbar-Southlands;49.25555918;-123.1937252;YES
Other Theft;2003;2;16;9;2;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Break and Enter Residential/Other;2003;7;9;18;15;18XX E 3RD AVE;Grandview-Woodland;49.26773386;-123.067654;YES
Other Theft;2003;1;31;19;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;NO
Mischief;2003;9;27;1;0;40XX W 21ST AVE;Dunbar-Southlands;49.25376204;-123.194407;NO
Break and Enter Residential/Other;2003;4;19;18;0;18XX E 3RD AVE;Grandview-Woodland;49.26781432;-123.0674411;NO
Break and Enter Residential/Other;2003;9;24;18;30;18XX E 3RD AVE;Grandview-Woodland;49.26773083;-123.0673017;NO
Break and Enter Residential/Other;2003;11;5;8;12;63XX WINDSOR ST;Sunset;49.22642977;-123.0852834;NO
Break and Enter Commercial;2003;9;26;2;30;10XX ALBERNI ST;West End;49.28471484;-123.1228242;NO
Break and Enter Residential/Other;2003;10;21;10;0;18XX E 3RD AVE;Grandview-Woodland;49.26781128;-123.0670888;NO
Other Theft;2003;1;25;12;30;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;1;9;6;45;9XX TERMINAL AVE;Strathcona;49.26980201;-123.0837633;YES
Other Theft;2003;4;30;13;6;9XX SEYMOUR ST;Central Business District;49.27937407;-123.1209199;NO
Other Theft;2003;12;12;15;50;9XX SEYMOUR ST;Central Business District;49.27870142;-123.1217697;NO
Other Theft;2003;3;7;16;15;9XX ROBSON ST;Central Business District;49.28269223;-123.1219323;YES
Mischief;2003;1;23;23;0;40XX W 27TH AVE;Dunbar-Southlands;49.24807387;-123.1948057;YES
Mischief;2003;4;1;0;0;40XX W 27TH AVE;Dunbar-Southlands;49.24815433;-123.194349;NO
Mischief;2003;6;29;0;30;40XX W 27TH AVE;Dunbar-Southlands;49.24806975;-123.1937798;YES
Mischief;2003;10;16;14;10;40XX W 27TH AVE;Dunbar-Southlands;49.24806975;-123.1937798;NO
Other Theft;2003;1;28;10;30;9XX NICOLA ST;West End;49.28661123;-123.1341283;NO
Theft from Vehicle;2003;8;5;12;25;10XX CARDERO ST;West End;49.28723347;-123.135476;NO
Theft from Vehicle;2003;6;17;16;15;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;6;13;12;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Theft from Vehicle;2003;6;11;15;0;11XX MAINLAND ST;Central Business District;49.27472125;-123.1217449;YES
Mischief;2003;11;8;22;15;11XX HAMILTON ST;Central Business District;49.2758439;-123.1211037;NO
Theft from Vehicle;2003;4;21;17;0;11XX NOOTKA ST;Hastings-Sunrise;49.27462571;-123.0413255;YES
Mischief;2003;8;5;22;0;11XX HARO ST;West End;49.28472338;-123.1272377;YES
Theft from Vehicle;2003;8;19;6;15;10XX BROUGHTON ST;West End;49.2853767;-123.1336862;YES
Other Theft;2003;6;26;20;37;9XX DENMAN ST;West End;49.2903511;-123.1372304;YES
Other Theft;2003;12;1;14;37;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
Mischief;2003;9;2;9;25;13XX FRANCES ST;Grandview-Woodland;49.27941482;-123.0762036;YES
Mischief;2003;3;18;0;30;40XX W 31ST AVE;Dunbar-Southlands;49.24425895;-123.193814;YES
Other Theft;2003;10;18;10;50;9XX DAVIE ST;Central Business District;49.27843487;-123.1282696;NO
